移动宽带,#genre#
哈尔滨移动
cctv1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
cctv1,http://39.134.66.66/PLTV/88888888/224/3221226075/index.m3u8
cctv2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
cctv2,http://39.134.66.66/PLTV/88888888/224/3221226079/index.m3u8
cctv3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
cctv4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
cctv5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
cctv6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
cctv7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
cctv8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
cctv9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
cctv10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
cctv11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
cctv12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
cctv13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
cctv14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
cctv15,http://39.134.66.66/PLTV/88888888/224/3221226127/index.m3u8
cctv16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
cctv17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
cctv5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
金鹰卡通720,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
卡酷少儿720,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
嘉佳卡通,http://zteres.sn.chinamobile.com:6060/000000001000/1000000002000025964/1.m3u8
卡酷少儿,http://zteres.sn.chinamobile.com:6060/000000001000/7851974109718180595/1.m3u8
炫动卡通720,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
优漫卡通720,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
黑龙江少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
精品卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
IHOT爱玩具,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000220630/index.m3u8
IHOT爱动漫,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000280630/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广东珠江,http://ci.emdoor.tech:8080/touchtv.php?pk=1183
广东珠江,http://116.21.253.122:9901/hls/34/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
